"n";"left";"right";"middle";"random"
35;1.5879629629629641;1.7280000000000018;1.6569953703703713;1.6224320241946641
36;1.7280000000000018;1.8760370370370394;1.801004629629632;1.7994872243405557
37;1.8760370370370394;2.032296296296299;1.953125000000002;1.881380521319575
38;2.032296296296299;2.1970000000000036;2.1135787037037077;2.1582374093160115
39;2.1970000000000036;2.3703703703703747;2.282587962962966;2.2496412440594282
40;2.3703703703703747;2.5526296296296347;2.4603750000000053;2.4614140274995218
41;2.5526296296296347;2.744000000000006;2.647162037037042;2.5970167407872795
42;2.744000000000006;2.9447037037037105;2.8431712962963034;2.783719674128545
43;2.9447037037037105;3.154962962962971;3.0486250000000066;2.9749005843977137
44;3.154962962962971;3.375000000000009;3.2637453703703794;3.253158791948606
45;3.375000000000009;3.605037037037047;3.4887546296296383;3.492859672941285
46;3.605037037037047;3.8452962962963078;3.7238750000000116;3.611517018789866
47;3.8452962962963078;4.0960000000000125;3.969328703703715;3.9834214604585765
48;4.0960000000000125;4.3573703703703845;4.2253379629629775;4.235507026049761
49;4.3573703703703845;4.629629629629645;4.492125000000014;4.527829938964076
50;4.629629629629645;4.913000000000017;4.769912037037054;4.643783019029029
51;4.913000000000017;5.207703703703722;5.0589212962963135;4.917480576195098
52;5.207703703703722;5.513962962962983;5.35937500000002;5.437602090422823
53;5.513962962962983;5.832000000000022;5.6714953703703905;5.6192104568143035
54;5.832000000000022;6.162037037037061;5.995504629629654;5.892572832185671
55;6.162037037037061;6.504296296296322;6.331625000000024;6.481969383614884
56;6.504296296296322;6.8590000000000275;6.680078703703732;6.832210142435599
57;6.8590000000000275;7.2263703703704;7.04108796296299;7.158976352407773
58;7.2263703703704;7.606629629629662;7.414875000000032;7.5798814181682905
59;7.606629629629662;8.000000000000032;7.801662037037069;7.974468340545099
"cnt:100";3.9204000000000083;4.080400000000009;3.999800000000007;3.9915168596208654
0;0;8.000000000000001e-06;1.0000000000000002e-06;1.4974729858867508e-07
1;8.000000000000001e-06;6.400000000000001e-05;2.6999999999999996e-05;2.156442324316851e-05
2;6.400000000000001e-05;0.00021599999999999996;0.00012500000000000003;8.039797938738248e-05
3;0.00021599999999999996;0.0005120000000000001;0.0003430000000000001;0.00030342256317201203
4;0.0005120000000000001;0.0010000000000000002;0.0007289999999999999;0.0006201820293022917
5;0.0010000000000000002;0.0017280000000000004;0.0013310000000000006;0.0016920578797678663
6;0.0017280000000000004;0.0027440000000000008;0.002197;0.002031843363202279
7;0.0027440000000000008;0.004096000000000001;0.0033750000000000017;0.003059036373422299
8;0.004096000000000001;0.0058319999999999995;0.004912999999999999;0.004399229087880949
9;0.0058319999999999995;0.007999999999999998;0.0068590000000000005;0.007374399142410132
10;0.007999999999999998;0.010647999999999996;0.009260999999999995;0.009093013092141958
11;0.010647999999999996;0.013823999999999994;0.012166999999999997;0.01202317314953699
12;0.013823999999999994;0.01757599999999999;0.01562499999999999;0.01669174185010579
13;0.01757599999999999;0.021951999999999992;0.019682999999999992;0.01842538410832928
14;0.021951999999999992;0.026999999999999996;0.024388999999999994;0.023110660145232394
15;0.026999999999999996;0.032768000000000005;0.029790999999999998;0.03261675060544312
16;0.032768000000000005;0.039304000000000006;0.035937000000000004;0.03475054301111469
17;0.039304000000000006;0.04665600000000002;0.04287500000000001;0.03948764973225218
18;0.04665600000000002;0.054872000000000025;0.050653000000000024;0.0527569309799258
19;0.054872000000000025;0.06400000000000004;0.05931900000000003;0.06286331106296453
20;0.06400000000000004;0.07408800000000006;0.06892100000000004;0.06787012554815644
21;0.07408800000000006;0.08518400000000007;0.07950700000000006;0.0819056456129871
22;0.08518400000000007;0.09733600000000009;0.09112500000000008;0.08656909032352972
23;0.09733600000000009;0.1105920000000001;0.1038230000000001;0.09733860519229288
24;0.1105920000000001;0.12500000000000008;0.11764900000000007;0.11982037002638914
25;0.12500000000000008;0.1406080000000001;0.1326510000000001;0.13299016592526436
26;0.1406080000000001;0.15746400000000013;0.14887700000000012;0.14639608603733972
27;0.15746400000000013;0.17561600000000016;0.16637500000000013;0.16269068002576564
28;0.17561600000000016;0.19511200000000017;0.18519300000000016;0.18366599274211218
29;0.19511200000000017;0.21600000000000022;0.2053790000000002;0.21191975761622128
30;0.21600000000000022;0.23832800000000026;0.22698100000000024;0.22918608738740276
31;0.23832800000000026;0.26214400000000027;0.2500470000000003;0.2534396598789806
32;0.26214400000000027;0.2874960000000003;0.2746250000000003;0.2845763002446137
33;0.2874960000000003;0.3144320000000004;0.30076300000000034;0.30448297635737614
34;0.3144320000000004;0.3430000000000004;0.3285090000000004;0.32202862787452663
35;0.3430000000000004;0.37324800000000047;0.3579110000000004;0.34793730133063405
36;0.37324800000000047;0.40522400000000053;0.3890170000000005;0.3912588105106838
37;0.40522400000000053;0.4389760000000006;0.42187500000000056;0.41239084133394993
38;0.4389760000000006;0.47455200000000064;0.45653300000000063;0.45694813626560576
39;0.47455200000000064;0.5120000000000007;0.49303900000000067;0.4763356909433738
40;0.5120000000000007;0.5513680000000007;0.5314410000000007;0.5202486024977627
41;0.5513680000000007;0.5927040000000009;0.5717870000000008;0.5756185477337247
42;0.5927040000000009;0.636056000000001;0.6141250000000009;0.6011298362569589
43;0.636056000000001;0.6814720000000011;0.658503000000001;0.6759275315360813
44;0.6814720000000011;0.7290000000000011;0.7049690000000011;0.7025527379223413
45;0.7290000000000011;0.7786880000000013;0.7535710000000012;0.736701474382255
46;0.7786880000000013;0.8305840000000013;0.8043570000000013;0.8199016475787939
47;0.8305840000000013;0.8847360000000014;0.8573750000000013;0.8393100031801265
48;0.8847360000000014;0.9411920000000016;0.9126730000000015;0.8848025815674389
49;0.9411920000000016;1.0000000000000013;0.9702990000000012;0.9632895246624256
50;1.0000000000000013;1.0612080000000015;1.0303010000000015;1.0180964935083971
51;1.0612080000000015;1.1248640000000016;1.0927270000000016;1.100021939676541
52;1.1248640000000016;1.1910160000000016;1.1576250000000017;1.170484715214584
53;1.1910160000000016;1.2597120000000017;1.2250430000000017;1.2108157682131029
54;1.2597120000000017;1.331000000000002;1.2950290000000018;1.319104155391997
55;1.331000000000002;1.4049280000000022;1.367631000000002;1.3362762596088793
56;1.4049280000000022;1.4815440000000022;1.442897000000002;1.4475649244116555
57;1.4815440000000022;1.5608960000000023;1.5208750000000022;1.5339639909780232
58;1.5608960000000023;1.6430320000000025;1.6016130000000024;1.6017118484031694
59;1.6430320000000025;1.7280000000000026;1.6851590000000025;1.6919175490213891
60;1.7280000000000026;1.8158480000000028;1.7715610000000028;1.767518307794797
61;1.8158480000000028;1.906624000000003;1.860867000000003;1.8990401266213521
62;1.906624000000003;2.0003760000000033;1.953125000000003;1.9685743087603331
63;2.0003760000000033;2.0971520000000035;2.0483830000000034;2.061952557766841
64;2.0971520000000035;2.1970000000000036;2.1466890000000034;2.097652528032957
65;2.1970000000000036;2.299968000000004;2.2480910000000036;2.244133671885712
66;2.299968000000004;2.406104000000004;2.352637000000004;2.3443890586391736
67;2.406104000000004;2.5154560000000044;2.460375000000004;2.5091349588826173
68;2.5154560000000044;2.6280720000000044;2.571353000000004;2.516648026882167
69;2.6280720000000044;2.7440000000000047;2.6856190000000044;2.6321781054406337
70;2.7440000000000047;2.863288000000005;2.8032210000000046;2.745807104026353
71;2.863288000000005;2.985984000000005;2.924207000000005;2.884027523617342
72;2.985984000000005;3.1121360000000053;3.0486250000000052;2.9897027491227988
